person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes
Elon_1:Basemath_1:438,438,Elon_1,father,Basemath_1,logical,GEN 26:34,
Basemath_1:Elon_1:439,439,Basemath_1,daughter,Elon_1,explicit,GEN 26:34,
Heth_1:Beeri_1:440,440,Heth_1,ancestor,Beeri_1,explicit,GEN 26:34,
Beeri_1:Heth_1:441,441,Beeri_1,descendant,Heth_1,explicit,GEN 26:34,
Heth_1:Elon_1:442,442,Heth_1,ancestor,Elon_1,explicit,GEN 26:34,
Elon_1:Heth_1:443,443,Elon_1,descendant,Heth_1,explicit,GEN 26:34,
Esau_1:Mahalath_1:444,444,Esau_1,husband,Mahalath_1,logical,GEN 28:9,
Mahalath_1:Esau_1:445,445,Mahalath_1,wife,Esau_1,explicit,GEN 28:9,
Ishmael_1:Mahalath_1:446,446,Ishmael_1,father,Mahalath_1,logical,GEN 28:9,
Mahalath_1:Ishmael_1:447,447,Mahalath_1,daughter,Ishmael_1,explicit,GEN 28:9,
Mahalath_1:Nebaioth_1:448,448,Mahalath_1,sister,Nebaioth_1,explicit,GEN 28:9,
Nebaioth_1:Mahalath_1:449,449,Nebaioth_1,brother,Mahalath_1,logical,GEN 28:9,
Laban_1:Rachel_1:450,450,Laban_1,father,Rachel_1,logical,GEN 29:6,
Rachel_1:Laban_1:451,451,Rachel_1,daughter,Laban_1,explicit,GEN 29:6,
Laban_1:Leah_1:452,452,Laban_1,father,Leah_1,logical,GEN 29:16,
Leah_1:Laban_1:453,453,Leah_1,daughter,Laban_1,explicit,GEN 29:16,
Leah_1:Rachel_1:454,454,Leah_1,sister,Rachel_1,logical,GEN 29:16,
Rachel_1:Leah_1:455,455,Rachel_1,sister,Leah_1,logical,GEN 29:16,
Leah_1:Zilpah_1:456,456,Leah_1,lady,Zilpah_1,logical,GEN 29:24,
Zilpah_1:Leah_1:457,457,Zilpah_1,servant,Leah_1,explicit,GEN 29:24,
Rachel_1:Bilhah_1:458,458,Rachel_1,lady,Bilhah_1,logical,GEN 29:28,
Bilhah_1:Rachel_1:459,459,Bilhah_1,servant,Rachel_1,explicit,GEN 29:28,
Jacob_1:Reuben_1:460,460,Jacob_1,father,Reuben_1,explicit,GEN 35:22,
Reuben_1:Jacob_1:461,461,Reuben_1,son,Jacob_1,logical,GEN 29:32,
Leah_1:Reuben_1:462,462,Leah_1,mother,Reuben_1,logical,GEN 29:32,
Reuben_1:Leah_1:463,463,Reuben_1,son,Leah_1,explicit,GEN 29:32,
Jacob_1:Simeon_1:464,464,Jacob_1,father,Simeon_1,logical,GEN 35:22,
Simeon_1:Jacob_1:465,465,Simeon_1,son,Jacob_1,logical,GEN 29:33,
Leah_1:Simeon_1:466,466,Leah_1,mother,Simeon_1,logical,GEN 29:33,
Simeon_1:Leah_1:467,467,Simeon_1,son,Leah_1,explicit,GEN 29:33,
Reuben_1:Simeon_1:468,468,Reuben_1,brother,Simeon_1,logical,GEN 29:33,
Simeon_1:Reuben_1:469,469,Simeon_1,brother,Reuben_1,logical,GEN 29:33,
Jacob_1:Levi_1:470,470,Jacob_1,father,Levi_1,logical,GEN 35:22,
Levi_1:Jacob_1:471,471,Levi_1,son,Jacob_1,logical,GEN 29:34,
Leah_1:Levi_1:472,472,Leah_1,mother,Levi_1,logical,GEN 29:34,
Levi_1:Leah_1:473,473,Levi_1,son,Leah_1,explicit,GEN 29:34,
Reuben_1:Levi_1:474,474,Reuben_1,brother,Levi_1,logical,GEN 29:34,
Simeon_1:Levi_1:475,475,Simeon_1,brother,Levi_1,logical,GEN 29:34,
Levi_1:Reuben_1:476,476,Levi_1,brother,Reuben_1,logical,GEN 29:34,
Levi_1:Simeon_1:477,477,Levi_1,brother,Simeon_1,logical,GEN 29:34,
Jacob_1:Judah_1:478,478,Jacob_1,father,Judah_1,logical,GEN 35:22,
